2021-01-09 14:59:13 startup archives install
2021-01-09 14:59:14 install base-passwd:amd64 <none> 3.5.46
2021-01-09 14:59:14 status half-installed base-passwd:amd64 3.5.46
2021-01-09 14:59:14 status unpacked base-passwd:amd64 3.5.46
2021-01-09 14:59:14 configure base-passwd:amd64 3.5.46 3.5.46
2021-01-09 14:59:14 status half-configured base-passwd:amd64 3.5.46
2021-01-09 14:59:14 status installed base-passwd:amd64 3.5.46
2021-01-09 14:59:14 startup archives install
2021-01-09 14:59:14 install base-files:amd64 <none> 10.3+deb10u2
2021-01-09 14:59:14 status half-installed base-files:amd64 10.3+deb10u2
2021-01-09 14:59:14 status unpacked base-files:amd64 10.3+deb10u2
2021-01-09 14:59:14 configure base-files:amd64 10.3+deb10u2 10.3+deb10u2
2021-01-09 14:59:14 status half-configured base-files:amd64 10.3+deb10u2
2021-01-09 14:59:14 status installed base-files:amd64 10.3+deb10u2
2021-01-09 14:59:14 startup archives install
2021-01-09 14:59:14 upgrade dpkg 1.19.7 1.19.7
2021-01-09 14:59:14 status half-configured dpkg 1.19.7
2021-01-09 14:59:14 status unpacked dpkg 1.19.7
2021-01-09 14:59:14 status half-installed dpkg 1.19.7
2021-01-09 14:59:15 status unpacked dpkg:amd64 1.19.7
2021-01-09 14:59:15 configure dpkg:amd64 1.19.7 1.19.7
2021-01-09 14:59:15 status half-configured dpkg:amd64 1.19.7
2021-01-09 14:59:15 status installed dpkg:amd64 1.19.7
2021-01-09 14:59:15 startup archives install
2021-01-09 14:59:15 install libc6:amd64 <none> 2.28-10
2021-01-09 14:59:15 status half-installed libc6:amd64 2.28-10
2021-01-09 14:59:16 status unpacked libc6:amd64 2.28-10
2021-01-09 14:59:16 configure libc6:amd64 2.28-10 2.28-10
2021-01-09 14:59:16 status half-configured libc6:amd64 2.28-10
2021-01-09 14:59:16 status installed libc6:amd64 2.28-10
2021-01-09 14:59:16 startup archives install
2021-01-09 14:59:16 install perl-base:amd64 <none> 5.28.1-6
2021-01-09 14:59:16 status half-installed perl-base:amd64 5.28.1-6
2021-01-09 14:59:17 status unpacked perl-base:amd64 5.28.1-6
2021-01-09 14:59:17 configure perl-base:amd64 5.28.1-6 5.28.1-6
2021-01-09 14:59:17 status half-configured perl-base:amd64 5.28.1-6
2021-01-09 14:59:17 status installed perl-base:amd64 5.28.1-6
2021-01-09 14:59:17 startup archives install
2021-01-09 14:59:17 install mawk:amd64 <none> 1.3.3-17+b3
2021-01-09 14:59:17 status half-installed mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:17 status unpacked mawk:amd64 1.3.3-17+b3
2021-01-09 14:59:17 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
